src	id	field	ua
tips	0	ctgr	Восьмикласник
tips	0	name	Організація
tips	0	note	«Організація» — це Організація. Не більше і не менше. Офіційна назва в неї інша, але хто вимовить її вголос — не житиме. Тому всі, хто знає про її існування, називають її просто «Організація» — з благоговійним страхом.
tips	0	ruby	
tips	100	ctgr	Мережа
tips	100	name	Чіраура
tips	100	note	Скорочення від «зворот рекламної листівки». Мережевий сленг: місце, де записують свої думки й враження, тобто блог.
tips	100	ruby	
tips	101	ctgr	Наука
tips	101	name	Діаграма Пенроуза
tips	101	note	Також «схема Пенроуза» або «діаграма простору-часу Пенроуза». Спосіб зобразити безмежний простір-час на скінченній двовимірній площині. Придумав її фізик Роджер Пенроуз.
tips	101	ruby	
tips	102	ctgr	Мережа
tips	102	name	Українською, будь ласка
tips	102	note	«ок» тут значить «OK». На мережевих форумах так підколюють того, хто написав щось незрозуміле: мовляв, «пиши так, щоб тебе розуміли».
tips	102	ruby	
tips	103	ctgr	Мережа
tips	103	name	ґдґд
tips	103	note	Скорочення від «ґудаґуда» — тобто «мляво», «тягомотина», «розкисло».
tips	103	ruby	
tips	104	ctgr	Наука
tips	104	name	Сингулярність
tips	104	note	"Тут — «гравітаційна сингулярність» з астрофізики. Місце, де гравітація стає безмежною. Це суто теоретична річ: що діється всередині сингулярності, спостерігати неможливо, а тому й існування її не довести.
Сингулярність у чорній дірі — це «точка», що народжується, коли зоря на схилі життя стискається під власною вагою. Уяви собі зорю кількасот мільйонів кілометрів у діаметрі — і всю її речовину разом з усім довкола, втиснуту у простір, менший за оцю крапку."
tips	104	ruby	
tips	105	ctgr	Мережа
tips	105	name	ЗАКРИЙ ПАЩЕКУ-У-У
tips	105	note	Дістав. Страшенно бісить.
tips	105	ruby	
tips	106	ctgr	Наука
tips	106	name	Цезієвий годинник
tips	106	note	Атомний годинник. Вимірює час за резонансною частотою атома цезію. Вважається найточнішим з усіх годинників, і з 1967 року вимірювання цезієвим атомним годинником є міжнародним визначенням «однієї секунди».
tips	106	ruby	
tips	107	ctgr	Мережа
tips	107	name	Ніконосець
tips	107	note	Скорочення від «постійний нікнейм». На @чані таких людей мало: якщо писати, не вводячи нікнейм, повідомлення підписується як «Безіменний-сан» тощо. Ті, хто виставляє нік, зазвичай викликають кпини.
tips	107	ruby	
tips	108	ctgr	Інше
tips	108	name	X68000
tips	108	note	16-бітний ПК, що вийшов у Японії 1987 року. Прикмета — корпус із двох веж, розділений навпіл, який назвали «манхеттенською формою».
tips	108	ruby	
tips	109	ctgr	Восьмикласник
tips	109	name	Різні очі
tips	109	note	Гетерохромія райдужки: колір очей ліворуч і праворуч різний. Часто трапляється в персонажів аніме та манґи. Причин цьому здебільшого не наводять — це радше просто ще один елемент моє.
tips	109	ruby	
tips	10	ctgr	Отаку
tips	10	name	Косплей
tips	10	note	Скорочення від «костюмована гра» — перевдягання. В Японії «косплей» означає перевтілення в персонажа аніме тощо, а тих, хто цим займається, звуть «косплеєрами» (ще коротше — «плеєрами»). Костюми для косплею здебільшого шиють самотужки.
tips	10	ruby	
tips	110	ctgr	Наука
tips	110	name	Фазовий перехід
tips	110	note	Фізичне явище, коли через зовнішні умови — температуру, тиск тощо — речовина переходить з однієї фази в іншу. Буває між рідкою, газовою і твердою фазами, між феромагнітним і параманітним станами, між високим і низьким вакуумом.
tips	110	ruby	
tips	111	ctgr	Інше
tips	111	name	Фрактальна структура
tips	111	note	Одне з понять геометрії, що означає надпросту структуру, або ж самоподібну форму. Найдрібніша частина фігури подібна до фігури в цілому. Приклади — снігова кристалик (одна грань кристала і весь кристал) або химерно порізана лінія берега.
tips	111	ruby	
tips	112	ctgr	Інше
tips	112	name	Губка Менгера
tips	112	note	"Приклад фрактальної структури. У кубі на всіх шести гранях роблять отвори так:
1. У центрі вирізають квадратний отвір площею 1/9 грані.
2. У центрі кожного з восьми квадратів, що оточують цей отвір, вирізають ще один отвір на 1/9.
3. І так до безкінечності.
Внаслідок цього площа поверхні зростає нескінченно, а об'єм прямує до нуля."
tips	112	ruby	
tips	113	ctgr	Інше
tips	113	name	Едісон
tips	113	note	Томас Едісон. Американський винахідник. Відомий тим, що створив фонограф, лампу розжарення та кінетограф — примітивну кінокамеру. Зробив також безліч інших винаходів у галузі електротехніки.
tips	113	ruby	
tips	114	ctgr	Інше
tips	114	name	Телепорт
tips	114	note	Або телепортація. Миттєве переміщення. Цілковито нехтуючи законами фізики, дає змогу вмить перенестися між двома віддаленими точками. У художніх творах зазвичай зображується як надздібність.
