file	scene	idx	ua
resg00_01.ks	*dummy1	0	Агов, агов. Що ти там бурмочеш?
resg00_01.ks	*dummy1	1	Телефон притиснутий до правого вуха, але з динаміка — ані звуку. Навіть шипіння немає. Цілковита тиша.
resg00_01.ks	*dummy1	2	Я печуся під нещадним літнім сонцем.
resg00_01.ks	*dummy1	3	Крапля поту сповзає підборіддям, зривається — і лишає темну пляму на бетоні.
resg00_01.ks	*dummy1	4	Окаріне? Агов, я до тебе!
resg00_01.ks	*dummy1	5	Ти з кимось говориш?
resg00_01.ks	*dummy1	6	Киваю і знову тулю телефон до вуха.\nПо той бік — та сама тиша.
resg00_01.ks	*dummy1	7	Розмова не для чужих вух, тож співрозмовник, певно, тактовно замовк.
resg00_01.ks	*dummy1	8	…Ні, це я не тобі. Усе гаразд. Починаю проникнення в зал.
resg00_01.ks	*dummy1	9	Так, доктор Накабачі нас випередив. Але я витрясу з нього все про його теорію.
resg00_01.ks	*dummy1	10	…Що?! «<tips,1,Організація>» вже заворушилася?!
resg00_01.ks	*dummy1	11	Зрозуміло… Отже, такий вибір Брами Штейна.
resg00_01.ks	*dummy1	12	Ель Псай Конґру.
resg00_01.ks	*dummy1	13	Брама Штейна.
resg00_01.ks	*dummy1	14	Одні звуть це волею богів, інші — долею.
resg00_01.ks	*dummy1	15	На всій планеті тих, хто знає про її існування, можна перелічити на пальцях.
resg00_01.ks	*dummy1	16	Що ж, тоді не гаймо часу — розпочинаємо проникнення.\nЯ рушаю до будівлі, що здіймається переді мною.
resg00_01.ks	*dummy1	17	Проникнення на ворожу територію. Тільки простак пре через парадний вхід — я такої дурості не припущуся.
resg00_01.ks	*dummy1	18	Жодних ліфтів і ескалаторів: на восьмий, останній поверх — сходами.
resg00_01.ks	*dummy1	19	Восьмий. Нарешті. Чесно, не думав, що буде так важко.
resg00_01.ks	*dummy1	20	З ким ти перед тим говорив по телефону?
resg00_01.ks	*dummy1	21	Питає дівчина, що йшла за мною, — Шіна Маюрі. І навіть не захекалась.
resg00_01.ks	*dummy1	22	Не питай. Це заради твого ж блага, Маюрі.
resg00_01.ks	*dummy1	23	Он як. Дякую, Окаріне.
resg00_01.ks	*dummy1	24	Маюрі — моя подруга дитинства.
resg00_01.ks	*dummy1	25	Вона на два роки молодша — їй шістнадцять, старшокласниця — тож це радше молодша сестра, ніж подруга.
resg00_01.ks	*dummy1	26	Живемо по сусідству, і я змалку за нею наглядаю.
resg00_01.ks	*dummy1	27	Колись я думав: а що, як Маюрі до снаги знести жорстоку долю — бути ключем до Брами Штейна?
resg00_01.ks	*dummy1	28	Але відтоді я передумав.
resg00_01.ks	*dummy1	29	Хай вона завжди лишається звичайною.\nОце й усе, чого я нині бажаю.
resg00_01.ks	*dummy1	30	Над входом до зали — табличка: «Доктор Накабачі. Пресконференція з нагоди успішного винаходу <tips,2,машини часу>».
resg00_01.ks	*dummy1	31	Окаріне, Окаріне!
resg00_01.ks	*dummy1	32	«Окарін» — вона тільки так мене й кличе, хоч це ні справжнє моє ім'я, ні кодове.
resg00_01.ks	*dummy1	33	Це прізвисько. І я його, щиро кажучи, недолюблюю.
resg00_01.ks	*dummy1	34	Маюрі, скільки разів повторювати? Не називай мене Окаріном.
resg00_01.ks	*dummy1	35	Еее? Але я ж завжди так тебе кликала.
resg00_01.ks	*dummy1	36	То було колись. Тепер я — Темний Фенікс.
resg00_01.ks	*dummy1	37	Безумний учений, за яким полюють таємні організації всього світу! Муаха-ха-ха!
resg00_01.ks	*dummy1	38	Але воно таке складне, я не запам'ятаю.
resg00_01.ks	*dummy1	39	Хай там як, Темний Фенікс — моє <tips,3,істинне ім'я>.
resg00_01.ks	*dummy1	40	І воно зовсім не схоже на «Окабе Рінтаро»! Дивно, ехехе.
resg00_01.ks	*dummy1	41	До речі, про Окабе Рінтаро: моє справжнє ім'я звучить якось по-дурному, і я його не люблю.
resg00_01.ks	*dummy1	42	А тому й похідне від нього «Окарін» терпіти не можу.
resg00_01.ks	*dummy1	43	Слухай, Окаріне. Ем… можна дещо спитати?
resg00_01.ks	*dummy1	44	Схоже, до Маюрі мої слова просто не доходять.
resg00_01.ks	*dummy1	45	А що тут зараз буде?
resg00_01.ks	*dummy1	46	Ти що, прийшла за мною аж сюди і навіть не знаєш навіщо?
resg00_01.ks	*dummy1	47	Угу.
resg00_01.ks	*dummy1	48	Токіо, Акіхабара, просто біля станції — будівля, яку всі звуть «<tips,4,Радікан>».\nНа восьмому поверсі — зал для заходів.
resg00_01.ks	*dummy1	49	Зараз тут почнеться пресконференція доктора Накабачі.
resg00_01.ks	*dummy1	50	Доктор Накабачі — винахідник.
resg00_01.ks	*dummy1	51	Постать доволі відома: часто з'являється по телевізору, та й патентів у нього чимало.
resg00_01.ks	*dummy1	52	Щоправда, для широкого загалу він — радше клоун, ніж учений.
resg00_01.ks	*dummy1	53	Пресконференція? Але Маюші щось не бачить тут журналістів.
resg00_01.ks	*dummy1	54	Маюрі має рацію.
resg00_01.ks	*dummy1	55	З його славою і з такою темою людей мало б бути значно більше.
resg00_01.ks	*dummy1	56	Або ж «Організація» вже доклала сюди своїх рук.
resg00_01.ks	*dummy1	57	Накабачі — хоч особисто ми не знайомі — колись мав бути зі мною по один бік барикад.
resg00_01.ks	*dummy1	58	Але він усе покинув і зійшов зі шляху.\n«Організація» такої нагоди не проґавить.
resg00_01.ks	*dummy1	59	Аби тільки мене в це не втягли.
resg00_01.ks	*dummy1	60	І все ж цікаво, що він скаже.
resg00_01.ks	*dummy1	61	Маюрі, будь обережна. Підозрюю, ця пресконференція не минеться без інциден…
resg00_01.ks	*dummy1	62	?!
resg00_01.ks	*dummy1	63	Не встиг договорити — і ось!
resg00_01.ks	*dummy1	64	Щ-Що це за звук?! Атака <tips,5,електромагнітними хвилями>?!
resg00_01.ks	*dummy1	65	Удар був справжній.
resg00_01.ks	*dummy1	66	Згори.
resg00_01.ks	*dummy1	67	Але ми на восьмому — це останній поверх.\nВище тільки дах.
resg00_01.ks	*dummy1	68	Землетрус? Два бали? Чи магнітуда два? А яка різниця між балами й магнітудою?..
resg00_01.ks	*dummy1	69	Нехай собі думає далі.
resg00_01.ks	*dummy1	70	Серце стискається від поганого передчуття, і я вилітаю із зали.
resg00_01.ks	*dummy1	71	Не зважаючи на табличку «Стороннім вхід заборонено», біжу сходами вгору, на дах.
resg00_01.ks	*dummy1	72	Так, здивування я розіграв ефектно, на публіку — але якщо вибух був справжній, що тоді?
resg00_01.ks	*dummy1	73	Кепсько. Серце гупає.\nНі — калатає.
resg00_01.ks	*dummy1	74	Може, до біса той дах, і втікати?\nІ взагалі, чого це раптом вибух? Теракт?
resg00_01.ks	*dummy1	75	Ні… чомусь здається, що це щось зовсім інше.
resg00_01.ks	*dummy1	76	Розриваючись між страхом і цікавістю, я таки піднімаюся на дах.
resg00_01.ks	*dummy1	77	Що… це таке?
resg00_01.ks	*dummy1	78	Посеред даху стоїть дивна машина.
resg00_01.ks	*dummy1	79	Величезна. Метри три заввишки, не менше.
resg00_01.ks	*dummy1	80	Це що… супутник?
resg00_01.ks	*dummy1	81	Хто його сюди поставив?
resg00_01.ks	*dummy1	82	Невже Накабачі? Якась декорація до його конференції?
resg00_01.ks	*dummy1	83	Та ні. Навіть якби й так — як він, у біса, затягнув би це сюди?
resg00_01.ks	*dummy1	84	Це ж дах восьмиповерхівки!
resg00_01.ks	*dummy1	85	Не підхо-о-одьте, будь ласка!
resg00_01.ks	*dummy1	86	І тут назустріч нам, широко розмахуючи руками, виходить жінка — судячи з усього, хтось із персоналу.
resg00_01.ks	*dummy1	87	Пресконференція почнеться за розкладом, зачекайте ще трішки!
resg00_01.ks	*dummy1	88	Вона що, намагається щось приховати?
resg00_01.ks	*dummy1	89	Надто вже спритно зреагувала. Ніби хоче відтягнути мене від цієї штуки, схожої на супутник.
resg00_01.ks	*dummy1	90	Пахне. Пахне змовою. Що вони ховають?
resg00_01.ks	*dummy1	91	Спершу я не звернув уваги, але замок на дверях даху зламано. Хуліганство — чи справа рук «Організації»?
resg00_01.ks	*dummy1	92	Утім, привертати увагу тієї жінки — зайве, тож я знехотя повертаюся на восьмий.
resg00_01.ks	*dummy1	93	Якщо чесно… я таки добряче злякався.
resg00_01.ks	*dummy1	94	У залі Маюрі немає.\nКуди вона поділася?
resg00_01.ks	*dummy1	95	Знаходжу її на сьомому.
resg00_01.ks	*dummy1	96	Біля входу на поверх — ціла шеренга <tips,6,капсульних автоматів>.\nМаюрі дивиться на них жадібними очима.
resg00_01.ks	*dummy1	97	Маюрі, що ти робиш?
resg00_01.ks	*dummy1	98	Мм?
resg00_01.ks	*dummy1	99	Ну… мені так хочеться Упу.
resg00_01.ks	*dummy1	100	Автомат, на який вона показує, підписано: «RaiNet AccessBattlers. Колекція Упа».
resg00_01.ks	*dummy1	101	«<tips,7,RaiNet Kakeru>» — аніме, яке нині знає кожен, і діти, і дорослі.
resg00_01.ks	*dummy1	102	Його карткова гра-відгалуження, RaiNet AccessBattlers, здобула шалену популярність і за кордоном — аж до світових турнірів.
resg00_01.ks	*dummy1	103	А Упа, про якого говорить Маюрі, — найулюбленіший маскот цього аніме.
resg00_01.ks	*dummy1	104	Як би його описати… Така собі кулька з лапками. Щось на кшталт собаки.
resg00_01.ks	*dummy1	105	То крути.
resg00_01.ks	*dummy1	106	Але в Маюші зараз скінчилися монетки по сто єн!
resg00_01.ks	*dummy1	107	«Маюші» — так Маюрі іноді називає себе.\nА якщо зовсім точно, то в кінці ще має бути зірочка: Маюші☆.
resg00_01.ks	*dummy1	108	Тому, Окаріне, Окаріне, позич сто єн?
resg00_01.ks	*dummy1	109	Не будь такою розпещеною, Маюрі. Грошей не позичу. І я тобі покажу, яким суворим буває життя.
resg00_01.ks	*dummy1	110	Кидаю цю фразу, дістаю з гаманця сто єн — і опускаю в монетоприймач.
resg00_01.ks	*dummy1	111	А… ааа…
resg00_01.ks	*dummy1	112	Розламую капсулу й дістаю вміст.
resg00_01.ks	*dummy1	113	Ой, металевий! Металевий Упа!
resg00_01.ks	*dummy1	114	Рідкісний?
resg00_01.ks	*dummy1	115	Дуже!
resg00_01.ks	*dummy1	116	…
resg00_01.ks	*dummy1	117	Очі в Маюрі аж сяють. Невже їй так хочеться?
resg00_01.ks	*dummy1	118	Хмф. Що ж, Маюрі, дарую його тобі.
resg00_01.ks	*dummy1	119	Мені він, чесно кажучи, ні до чого.
resg00_01.ks	*dummy1	120	Правда? Можна? Окаріне!
resg00_01.ks	*dummy1	121	Темний Фенікс!
resg00_01.ks	*dummy1	122	Ехехе, дякую, Окаріне♪
resg00_01.ks	*dummy1	123	…
resg00_01.ks	*dummy1	124	Вона що, навмисно пропустила це повз вуха?
resg00_01.ks	*dummy1	125	…Дякуємо всім, хто прийшов на пресконференцію доктора Накабачі з нагоди успішного винаходу машини часу.
resg00_01.ks	*dummy1	126	З поверху вище долинає голос із гучномовця.
resg00_01.ks	*dummy1	127	Схоже, починають.
resg00_01.ks	*dummy1	128	Ходімо, Маюрі.
resg00_01.ks	*dummy1	129	Мм, зажди-зажди. Треба ім'я написати.
resg00_01.ks	*dummy1	130	Маюрі вовтузиться зі своїм Металевим Упою, і я, не чекаючи, йду до зали сам.
resg00_01.ks	*dummy1	131	А тепер дозвольте представити нашого винахідника — доктора Накабачі! Зустрічайте бурхливими оплесками!
resg00_01.ks	*dummy1	132	Я доктор Накабачі. Радий вітати.
resg00_01.ks	*dummy1	133	Отже, панове, лише для вас, присутніх тут, я викладу теорію машини часу — великого винаходу століття, що увійде в історію людства.
resg00_01.ks	*dummy1	134	Разом зі мною в залі душ двадцять. Трохи більше, ніж було.
resg00_01.ks	*dummy1	135	Але ні журналістів, ні операторів так і не видно.\nОсь скільки насправді важить для світу ім'я доктора Накабачі.
resg00_01.ks	*dummy1	136	Коли винахідник-клоун оголошує, що винайшов машину часу, публіка лише пирхає: «Та що він верзе».
resg00_01.ks	*dummy1	137	Мені теж було цікаво, що він скаже, — але особливих надій я не плекав.
resg00_01.ks	*dummy1	138	І правильно. Бо щойно доктор Накабачі береться викладати свою теорію машини часу, цікавість обертається розчаруванням, а далі — люттю.
resg00_01.ks	*dummy1	139	До-о-октор-р-ре-е!
resg00_01.ks	*dummy1	140	Ви нас за дурнів маєте?!
resg00_01.ks	*dummy1	141	Ти ще хто такий?!
resg00_01.ks	*dummy1	142	Хто я — не має жодного значення!
resg00_01.ks	*dummy1	143	Краще скажіть: що це за теорія машини часу, яку ви тут щойно виклали?!
resg00_01.ks	*dummy1	144	Це ж здерто в <tips,8,Джона Тайтора>! І ви після цього смієте зватися винахідником?!
resg00_01.ks	*dummy1	145	Х-Хто-небудь, виведіть його звідси!
resg00_01.ks	*dummy1	146	Це вас треба вивести, докторе! Майте сором!
resg00_01.ks	*dummy1	147	Віднині ви не маєте жодного права називатися винахідником!
resg00_01.ks	*dummy1	148	Ану замовкни, шмаркачу нахабний!
resg00_01.ks	*dummy1	149	І тут хтось хапає мене ззаду за руку.
resg00_01.ks	*dummy1	150	Вирішивши, що це хтось із персоналу прийшов мене виставити, я розвертаюся з люттю в очах.
resg00_01.ks	*dummy1	151	Пус-ти-и… м?
resg00_01.ks	*dummy1	152	…
resg00_01.ks	*dummy1	153	Переді мною — дівчина приблизно мого віку.
resg00_01.ks	*dummy1	154	Обличчя знайоме. Де ж я її бачив?..
resg00_01.ks	*dummy1	155	А…
resg00_01.ks	*dummy1	156	Макісе Курісу.
resg00_01.ks	*dummy1	157	Ми не знайомі, але її обличчя я знаю.
resg00_01.ks	*dummy1	158	Кілька днів тому мій друг Дару — Хашіда Ітару — показав мені один журнал.
resg00_01.ks	*dummy1	159	Там була стаття: «Дівчина-геній виступить з лекцією в Акіхабарі».
resg00_01.ks	*dummy1	160	Цієї весни вона, сімнадцятирічна, екстерном закінчила американський університет, а її наукову працю надрукував журнал «Science».
resg00_01.ks	*dummy1	161	І що така геніальна дівчина робить тут? Чого їй від мене треба?
resg00_01.ks	*dummy1	162	Ви не могли б відійти зі мною на хвилинку?
resg00_01.ks	*dummy1	163	Навряд чи Макісе Курісу — хтось із тутешнього персоналу.\nА отже… невже…
resg00_01.ks	*dummy1	164	Т-Ти з «Організації»?!
resg00_01.ks	*dummy1	165	Га?
resg00_01.ks	*dummy1	166	Досить дуркувати. Ходімо зі мною, будь ласка.
resg00_01.ks	*dummy1	167	Вирішую мовчки послухатись.
resg00_01.ks	*dummy1	168	Після того, як я зчепився з доктором Накабачі, до мене й так прикута увага всієї зали.
resg00_01.ks	*dummy1	169	…
resg00_01.ks	*dummy1	170	Макісе Курісу веде мене за руку, і я слухняно виходжу із зали.
resg00_01.ks	*dummy1	171	За дверима вона відпускає руку.
resg00_01.ks	*dummy1	172	Стоїмо одне навпроти одного.
resg00_01.ks	*dummy1	173	Спробуй щось зробити тут — люди помітять. І тобі самій це вийде боком.
resg00_01.ks	*dummy1	174	Що значить «щось зробити»? Не наговорюйте на мене.
resg00_01.ks	*dummy1	175	Я просто хочу вас дещо спитати.
resg00_01.ks	*dummy1	176	Я не зобов'язаний відповідати. Знаю я методи «Організації».
resg00_01.ks	*dummy1	177	Та що за «Організація»?
resg00_01.ks	*dummy1	178	Питання лишаю без відповіді, миттю вихоплюю телефон і прикладаю до вуха.
resg00_01.ks	*dummy1	179	Це я. Мене перехопила агентка «Організації».
resg00_01.ks	*dummy1	180	…Так. Макісе Курісу. Стережися цієї дівчини… Ні, все гаразд. Я якось сам виплу…
resg00_01.ks	*dummy1	181	…!
resg00_01.ks	*dummy1	182	Курісу раптом вириває в мене телефон.
resg00_01.ks	*dummy1	183	Оце спритність! Раптовий напад був такий блискучий, що я навіть захиститись не встиг.
resg00_01.ks	*dummy1	184	Кх! Що ти робиш?!
resg00_01.ks	*dummy1	185	Е? У вас телефон… вимкнений…
resg00_01.ks	*dummy1	186	…
resg00_01.ks	*dummy1	187	…То з ким ви розмовляли?
resg00_01.ks	*dummy1	188	Я-Я не зобов'язаний тобі відповідати, але гаразд, поясню!
resg00_01.ks	*dummy1	189	Це особливий телефон: варто комусь іншому його торкнутися — і він автоматично вимикається!
resg00_01.ks	*dummy1	190	Муаха-ха! Ха!
resg00_01.ks	*dummy1	191	Під прикриттям гучного реготу я вихоплюю телефон назад.
resg00_01.ks	*dummy1	192	Фух, пронесло. Сяк-так викрутився.\nНишком витираю з чола холодний піт.
resg00_01.ks	*dummy1	193	…Ясно. Ви говорили самі з собою.
resg00_01.ks	*dummy1	194	Кх!
resg00_01.ks	*dummy1	195	Погано! Макісе Курісу не просто так звуть генієм — так легко її не обдуриш.
resg00_01.ks	*dummy1	196	Мало того — це вона тисне на мене психологічно!
resg00_01.ks	*dummy1	197	Кх, схоже, настав час для тактичного відступу.
resg00_01.ks	*dummy1	198	Аби тільки знайти слабке місце…!
resg00_01.ks	*dummy1	199	Але Макісе Курісу дивиться мені просто в очі, і я не можу й поворухнутись.
resg00_01.ks	*dummy1	200	Скільки ж сили волі в цьому погляді.
resg00_01.ks	*dummy1	201	Я мимоволі задивився.
resg00_01.ks	*dummy1	202	Невже людина з таким чистим, відвертим поглядом справді агентка «Організації»?..
resg00_01.ks	*dummy1	203	Що ви хотіли мені сказати перед тим?
resg00_01.ks	*dummy1	204	…Перед тим?
resg00_01.ks	*dummy1	205	Перед чим? Коли це?
resg00_01.ks	*dummy1	206	Хвилин п'ятнадцять тому. Перед початком конференції.
resg00_01.ks	*dummy1	207	Що за дурниці. Я бачу її вперше в житті.
resg00_01.ks	*dummy1	208	П'ятнадцять хвилин тому ми з Маюрі крутили Упу в автоматі.
resg00_01.ks	*dummy1	209	Ви ж хотіли мені щось сказати, правда? У вас було таке сумне обличчя.
